,hs_class,ap_class,dual_enrollment,interest_level,current_course,enrichment,curiosity,degree_program,age,web,cybersecurity,apps,analytics,ml_ai,programming,gamedev,hardware
0,No Impact,,,2,CMP 126 Computer Technology and Applications,Yes,Yes,Liberal Arts,19-20,Yes,Yes,No,No,No,No,No,No
1,Some Impact,Some Impact,Some Impact,3,CMP 126 Computer Technology and Applications,Yes,Yes,child psychology ,19-20,No,Yes,Yes,Yes,Yes,Yes,No,No
2,,,,5,CMP 126 Computer Technology and Applications,No,No,Broadcasting Arts and Technology,18 and younger,Yes,No,Yes,No,Yes,Yes,Yes,Yes
3,No Impact,No Impact,No Impact,3,CMP 126 Computer Technology and Applications,No,No,analyst,19-20,No,No,No,Yes,No,No,Yes,No
4,Some Impact,,,3,CMP 101 Computer Information Literacy,Yes,Yes,Journalism,19-20,No,No,No,No,No,No,No,No
5,Some Impact,Some Impact,Some Impact,3,CMP 101 Computer Information Literacy,Yes,Yes,Liberal Arts,19-20,Yes,No,Yes,No,No,No,Yes,No
6,No Impact,No Impact,No Impact,3,CMP 101 Computer Information Literacy,Yes,Yes,Early Childhood Education,19-20,No,No,No,No,No,No,Yes,No
7,No Impact,No Impact,No Impact,3,CMP 101 Computer Information Literacy,No,No,Nursing,18 and younger,No,No,No,No,No,No,No,No
8,No Impact,No Impact,No Impact,2,CMP 126 Computer Technology and Applications,No,No,Liberal Arts,19-20,No,No,No,Yes,No,No,No,Yes
9,No Impact,No Impact,No Impact,1,CMP 101 Computer Information Literacy,No,No,Liberal Arts,19-20,No,No,No,No,No,No,No,No
10,No Impact,Some Impact,Some Impact,2,CMP 101 Computer Information Literacy,No,No,Nursing,25-34,Yes,No,Yes,No,No,Yes,No,No
11,No Impact,No Impact,No Impact,2,CMP 135 Computer Concepts with Applications,No,No,Radiography,21-24,No,No,No,No,No,No,No,No
12,No Impact,No Impact,No Impact,2,CMP 135 Computer Concepts with Applications,No,No,Radiography,21-24,No,No,No,No,No,No,No,No
13,Some Impact,No Impact,No Impact,1,CMP 135 Computer Concepts with Applications,No,No,Radiography,21-24,No,No,No,No,No,No,No,No
14,No Impact,No Impact,No Impact,2,CMP 135 Computer Concepts with Applications,No,No,Radiography,18 and younger,No,No,No,No,No,No,Yes,No
15,No Impact,No Impact,No Impact,2,CMP 135 Computer Concepts with Applications,Yes,Yes,Exercise Science,19-20,No,No,No,No,Yes,No,No,No
16,No Impact,No Impact,No Impact,2,CMP 135 Computer Concepts with Applications,No,No,Radiography,18 and younger,No,No,No,No,No,No,No,No
17,No Impact,No Impact,No Impact,2,CMP 135 Computer Concepts with Applications,Yes,No,Exercise Science,18 and younger,No,No,No,No,No,No,No,No
18,No Impact,No Impact,No Impact,4,CMP 135 Computer Concepts with Applications,No,No,Radiography,18 and younger,Yes,No,Yes,No,Yes,Yes,Yes,Yes
19,Some Impact,No Impact,No Impact,2,CMP 135 Computer Concepts with Applications,Yes,No,Engineering Science,19-20,No,No,No,Yes,Yes,Yes,No,Yes
20,No Impact,No Impact,No Impact,3,CMP 135 Computer Concepts with Applications,No,No,Radiography,18 and younger,No,No,No,No,No,No,No,No
21,No Impact,No Impact,No Impact,2,CMP 135 Computer Concepts with Applications,No,No,Engineering Science,19-20,No,No,No,No,No,No,No,No
22,No Impact,No Impact,No Impact,2,CMP 135 Computer Concepts with Applications,No,No,Radiography,25-34,No,No,No,No,No,No,No,No
23,No Impact,No Impact,No Impact,3,CMP 101 Computer Information Literacy,Yes,Yes,Radiography,25-34,No,Yes,No,No,No,No,No,No
24,Some Impact,,Some Impact,5,CMP 135 Computer Concepts with Applications,No,Yes,Radiography,19-20,Yes,Yes,No,Yes,No,Yes,No,Yes
25,No Impact,No Impact,No Impact,2,CMP 135 Computer Concepts with Applications,Yes,Yes,Music Technology,18 and younger,No,No,No,No,No,No,Yes,No
26,No Impact,No Impact,No Impact,2,CMP 135 Computer Concepts with Applications,Yes,No,Nursing,19-20,Yes,Yes,Yes,No,No,No,Yes,No
27,No Impact,No Impact,No Impact,2,CMP 135 Computer Concepts with Applications,Yes,Yes,Engineering Science,19-20,No,No,No,No,No,Yes,No,No
28,No Impact,No Impact,No Impact,3,CMP 135 Computer Concepts with Applications,Yes,Yes,Radiography,25-34,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
29,Some Impact,No Impact,No Impact,2,CMP 135 Computer Concepts with Applications,Yes,Yes,Radiography,21-24,No,No,No,Yes,No,No,No,No
30,Some Impact,No Impact,No Impact,2,CMP 135 Computer Concepts with Applications,No,No,Radiography,21-24,No,No,No,No,No,No,No,No
31,No Impact,,,4,CMP 135 Computer Concepts with Applications,Yes,Yes,Radiography,18 and younger,No,Yes,No,Yes,No,No,Yes,No
32,Some Impact,No Impact,No Impact,1,CMP 135 Computer Concepts with Applications,Yes,Yes,Radiography,18 and younger,Yes,No,Yes,No,Yes,No,Yes,No
33,No Impact,No Impact,No Impact,3,CMP 101 Computer Information Literacy,No,Yes,Liberal Arts,35-64,No,Yes,No,Yes,No,No,No,Yes
34,No Impact,No Impact,No Impact,1,CMP 101 Computer Information Literacy,Yes,Yes,"Nursing, but not at CCM - I am a visiting student ",21-24,No,Yes,No,No,No,No,No,No
35,Some Impact,No Impact,No Impact,1,CMP 135 Computer Concepts with Applications,Yes,Yes,Radiography,19-20,No,No,No,No,No,No,No,No
36,No Impact,No Impact,No Impact,3,CMP 135 Computer Concepts with Applications,Yes,Yes,Radiography,21-24,Yes,No,Yes,No,No,No,No,No
37,No Impact,No Impact,No Impact,1,CMP 135 Computer Concepts with Applications,No,No,Liberal Arts,19-20,No,No,No,No,No,No,No,No
38,Some Impact,No Impact,No Impact,3,CMP 135 Computer Concepts with Applications,Yes,Yes,Psychology,19-20,No,Yes,No,No,No,No,No,No
39,No Impact,No Impact,No Impact,2,CMP 135 Computer Concepts with Applications,Yes,No,Radiography,19-20,No,No,No,No,Yes,No,No,No
40,No Impact,No Impact,No Impact,5,CMP 135 Computer Concepts with Applications,Yes,Yes,Nursing,21-24,Yes,No,No,No,Yes,Yes,No,No
41,,,,5,CMP 135 Computer Concepts with Applications,No,No,Radiography,18 and younger,No,Yes,No,No,Yes,No,Yes,No
42,No Impact,No Impact,No Impact,1,CMP 135 Computer Concepts with Applications,No,Yes,Criminal Justice,19-20,No,No,No,No,No,No,No,No
43,No Impact,No Impact,Some Impact,1,CMP 135 Computer Concepts with Applications,No,No,Not in a degree program,18 and younger,No,No,No,No,No,No,No,No
44,No Impact,No Impact,No Impact,5,CMP 135 Computer Concepts with Applications,Yes,Yes,Radiography,25-34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
